apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['de.varengold.activeTAN_53', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.brentpanther.litecoinwidget_23', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.igisw.openmoneybox_62', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([32, 32, 0], [105, 102, 0, 3]), [1, 0, 1], [0, 0]]
['com.invoiceninja.app_172', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([51, 14, 37], [179, 160, 1, 18]), [4, 1, 1], [0, 0]]
['org.asafonov.monly_52', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.inator.calculator_7', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['protect.rentalcalc_6', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.nanoconverter.zlab_38', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.greenaddress.abcore_77', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.brentpanther.ethereumwidget_33', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['app.crescentcash.src_120', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([29, 15, 14], [93, 52, 0, 41]), [0, 0, 0], [0, 0]]
['org.jdfossapps.android.shopwithmom_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.jstephan.yarc_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.drhoffmannsoft.pizza_12', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.veilproject.wallet_273', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([41, 4, 37], [151, 134, 1, 16]), [3, 0, 1], [0, 0]]
['com.arduia.expense_12', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.kazispin.money_logs_2', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([38, 4, 34], [143, 127, 1, 15]), [2, 0, 1], [0, 0]]
['co.timsmart.vouchervault_29', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([37, 4, 33], [141, 125, 1, 15]), [2, 0, 1], [0, 0]]
['org.btcmap_54', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([544, 19, 525], [1030, 705, 0, 325]), [2, 1, 1], [0, 0]]
['org.billthefarmer.currency_156', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['app.michaelwuensch.bitbanana_66', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([29, 29, 0], [118, 118, 0, 0]), [3, 1, 0], [0, 0]]
['de.cryptobitch.muelli.vouchercalc_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.eurokonverter_8', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([132, 29, 103], [253, 128, 4, 121]), [0, 0, 0], [0, 0]]
['org.ebur.debitum_23', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['be.chvp.nanoledger_2025011101', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['com.github.samotari.cryptoterminal_10500', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.oriondev.moneywallet_75', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([4, 1, 3], [11, 11, 0, 0]), [0, 0, 0], [0, 0]]
['ivl.android.moneybalance_6', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['hashengineering.darkcoin.wallet_102000', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([274, 129, 145], [654, 436, 3, 215]), [4, 1, 2], [0, 0]]
['im.status.ethereum_2024121818', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([571, 303, 268], [1379, 1226, 0, 153]), [73, 5, 22], [0, 0]]
['io.dahliaos.calculator_21', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([38, 4, 34], [143, 127, 1, 15]), [2, 0, 1], [0, 0]]
['de.cloneapps.crypto_prices_36', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([37, 4, 33], [141, 125, 1, 15]), [3, 0, 1], [0, 0]]
