apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['science.itaintrocket.pomfshare_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['io.simplelogin.android.fdroid_12200', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.polymorphicshade.tubular_1002', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.itxtech.daedalus_21', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([121, 121, 0], [473, 332, 0, 141]), [0, 0, 0], [0, 0]]
['ca.andries.portknocker_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.thunderbird.android.beta_11', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([14, 6, 8], [102, 77, 0, 25]), [2, 1, 1], [0, 0]]
['com.ruesga.rview_69', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ch.abertschi.adfree_42', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.serverfrog.pw.android_1016', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.manimarank.websitemonitor_9', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.snikket.android_4209504', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([480, 420, 60], [1508, 1142, 8, 358]), [2, 1, 2], [0, 0]]
['godau.fynn.bandcampdirect_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.gianlu.dnshero_41', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['chat.delta.lite_300007064', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([239, 5, 234], [412, 400, 0, 12]), [4, 3, 2], [0, 0]]
['com.odysee.floss_83', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.gitlab.terrakok.gitfox_609', 1, [1, 1, 1, 1, 1, 0, 0, 0], 0, ([17, 17, 0], [37, 35, 0, 2]), [1, 1, 1], [0, 0]]
['allen.town.focus.mastodon_1630', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([3, 3, 0], [11, 3, 0, 8]), [1, 0, 1], [0, 0]]
['org.kontalk_500', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([61, 61, 0], [200, 197, 0, 3]), [1, 0, 1], [0, 0]]
['bus.chio.wishmaster_1003', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([18, 18, 0], [54, 51, 0, 3]), [1, 1, 1], [0, 0]]
['com.nyx.custom_uploader_9', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([41, 4, 37], [152, 135, 1, 16]), [2, 0, 1], [0, 0]]
['org.cipherdyne.fwknop2_32', 1, [0, 1, 1, 1, 0, 1, 0, 0], 0, ([1, 0, 1], [1, 1, 0, 0]), [1, 1, 0], [0, 0]]
['com.fullscreen_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.haltcondition.anode_7', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.trianguloy.urlchecker_38', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.elektropepi.bootboi_11', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([197, 129, 68], [512, 428, 0, 84]), [28, 0, 14], [0, 0]]
['de.bwl.lfdi.app_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.stingle.photos_57', 1, [1, 1, 1, 1, 1, 1, 1, 0], 0, ([237, 72, 165], [1164, 1034, 0, 130]), [3, 2, 1], [0, 0]]
['fr.emersion.goguma_1079', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([41, 4, 37], [151, 134, 1, 16]), [3, 0, 1], [0, 0]]
['livio.rssreader_109', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.mrl.pixiv_10013', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [2, 1, 1], [0, 0]]
['com.dimtion.shaarlier_33', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.kitshn.android_1170', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [2, 1, 1], [0, 0]]
['com.btmura.android.reddit_12', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
