apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['org.jellyfin.mobile_2060299', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([145, 139, 6], [475, 427, 0, 48]), [2, 1, 2], [0, 0]]
['troop.com.freedcam_282', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([109, 4, 105], [393, 277, 0, 116]), [5, 2, 1], [0, 0]]
['fr.xplod.focal_8', 1, [0, 1, 0, 0, 0, 0, 0, 0], 0, ([21, 9, 12], [38, 38, 0, 0]), [4, 3, 3], [21, 0]]
['com.listen1.app_1', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([203, 113, 90], [497, 413, 0, 84]), [11, 0, 5], [0, 0]]
['cat.pantsu.nyaapantsu_3', 1, [1, 1, 1, 1, 1, 0, 0, 0], 0, ([2761, 2761, 0], [7830, 5755, 0, 2075]), [2, 1, 1], [0, 0]]
['com.googlecode.chartdroid_18', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ch.hsr.eyecam_81', 1, [0, 1, 1, 0, 0, 0, 0, 0], 0, ([4, 4, 0], [14, 13, 0, 1]), [1, 1, 0], [0, 0]]
['org.beide.droidgain_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.polymorphicshade.tubular_1002', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.reecedunn.espeak_22', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([11, 2, 9], [23, 23, 0, 0]), [1, 1, 1], [0, 0]]
['com.caydey.ffshare_22', 1, [1, 1, 0, 0, 0, 0, 0, 0], 0, ([18, 18, 0], [29, 29, 0, 0]), [18, 3, 3], [0, 0]]
