apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['com.xatik.app.droiddraw.client_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['zen.meditation.android_1644109', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['io.github.pastthepixels.freepaint_5', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([7, 7, 0], [18, 17, 0, 1]), [1, 0, 1], [0, 0]]
['org.fossify.gallery_9', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([69, 22, 47], [239, 211, 0, 28]), [13, 4, 4], [0, 0]]
['org.fossify.paint_1', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['com.todobom.opennotescanner_35', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([1180, 1180, 0], [5368, 5366, 0, 2]), [0, 0, 0], [0, 0]]
['com.wrmndfzzy.atomize_1', 1, [0, 1, 0, 0, 0, 0, 0, 0], 0, ([1, 1, 0], [3, 3, 0, 0]), [1, 1, 1], [0, 0]]
['org.krita_5011804', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([96, 89, 7], [244, 223, 1, 20]), [258, 3, 4], [0, 0]]
['com.nesbox.tic_10100', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([50, 42, 8], [134, 133, 0, 1]), [1, 1, 1], [0, 0]]
['com.burhanrashid52.photoediting_10', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['deckers.thibault.aves.libre_14204', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([49, 11, 38], [172, 148, 2, 22]), [9, 2, 1], [0, 0]]
['org.totschnig.ocr.tesseract_8', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([19, 10, 9], [53, 52, 0, 1]), [4, 2, 2], [0, 0]]
['com.openstablediffusion_24', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.gluege.nightlight_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.shifthackz.aisdv1.app.foss_186', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([155, 29, 126], [654, 632, 0, 22]), [3, 1, 2], [0, 0]]
['io.github.subhamtyagi.ocr_14', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([22, 13, 9], [77, 75, 0, 2]), [4, 2, 2], [0, 0]]
['org.catrobat.paintroid_52', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['systems.sieber.fsclock_34', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.vincentengelsoftware.vesandroidimagecompare_43', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.cryptobitch.muelli.barcodegen_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ru.tech.imageresizershrinker_163', 1, [1, 1, 1, 1, 1, 0, 0, 0], 0, ([276, 74, 202], [1185, 823, 0, 362]), [38, 22, 6], [0, 0]]
['com.exifthumbnailadder.app_724', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.ero.kinoko_101', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([44, 4, 40], [160, 140, 1, 19]), [8, 3, 4], [0, 0]]
['org.androidsoft.coloring_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.tmarki.comicmaker_33', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.voidptr.swpieview_15', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.k3b.android.lossless_jpg_crop_10', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([10, 2, 8], [26, 6, 0, 20]), [5, 0, 3], [0, 0]]
