apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['com.benarmstead.simplecooking_9', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.gmail.blandilyte.silverdict_134', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([278, 150, 128], [685, 552, 0, 133]), [44, 1, 22], [0, 0]]
['com.inspiredandroid.linuxcommandbibliotheca_93', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['io.jozo.prayerbook_9', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.funkymuse.aurora_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.livefast.eattrash.raccoonforlemmy.android_141', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([40, 32, 8], [129, 125, 0, 4]), [2, 0, 2], [0, 0]]
['io.github.v2compose_101', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['business.braid.f_wallet_120', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([41, 4, 37], [151, 134, 1, 16]), [2, 0, 1], [0, 0]]
['net.kervala.comicsreader_28', 1, [0, 1, 1, 1, 0, 1, 0, 0], 0, ([6, 6, 0], [9, 9, 0, 0]), [1, 1, 1], [0, 0]]
['com.madlonkay.orgro_151', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([42, 4, 38], [152, 135, 1, 16]), [3, 1, 1], [0, 0]]
['org.documentfoundation.libreoffice_75', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([54, 15, 39], [134, 117, 0, 17]), [14, 1, 1], [0, 0]]
